name,conditionGroup,mean_payoff
e1,E1,346.0
e21,E2,293.5
sarah,E2,217.5
Olive33,E2,231.0
misslins,E2,239.5
Donut,E2,299.0
capricorngirl,E1,437.0
Ryan,E2,266.5
catlady,E2,301.0
Bob,E1,384.0
windy,E1,386.0
katy,E1,337.0
dconti62,E1,362.0
Tall Man,E1,354.0
NEPATS,E2,140.0
b367,E2,327.5
Tim,E2,332.0
Jo,E1,378.0
c985,E1,425.0
Shabba,E2,328.0
Ale99,E2,450.5
bjs1109,E2,395.0
Cmarti,E2,171.0
Kim,E2,112.0
MattDC,E2,129.5
Mgamer,E2,149.0
barbara,E2,82.0
Supernova,E2,224.5
BasiaLJ,E2,304.0
SuperM,E2,321.0
dallas,E1,460.0
denver101,E1,460.0
tammy,E2,209.5
Wish,E2,300.0
Innana,E2,150.5
Victoria,E2,182.5
YJ,E2,161.0
lcr1490,E2,244.0
sh23,E2,245.5
robert,E1,414.0
Chai,E2,234.0
cclark33,E2,368.0
Jason,E1,378.0
Darmok,E1,477.0
Robert,E1,485.0
bobby,E1,423.0
StormyLife,E1,345.0
dlpay,E2,292.0
jdkvt,E1,392.0
MJG,E1,428.0
MturkerWU3,E2,370.0
AD,E2,313.0
nikki,E2,251.0
puja,E1,420.0
Iamowl,E2,206.0
shell,E1,323.0
AMANO RAY,E2,206.0
Sara,E1,504.0
Julia,E2,254.5
Judy,E1,465.0
Katie,E1,340.25
m33n4,E2,264.0
jencity,E1,400.0
Christine,E2,246.0
HelloScience,E1,410.0
seaaan,E1,393.0
david,E2,244.5
victreebel,E1,297.0
awu,E2,336.5
Knowledge,E2,240.5
Doll,E2,286.0
seema,E2,222.0
Katie,E2,340.25
kitkat,E1,339.0
turkey12,E1,383.0
Bert,E2,159.0
tiger,E2,59.0
be.moore,E2,252.0
flygirl,E1,50.0
blueshoes,E2,256.0
boss82,E2,351.0
Cadfael,E1,390.0
pattiann7163,E1,397.0
Jamie,E1,432.22222222222223
Alvin,E2,249.0
BL,E1,460.0
TCostik,E2,261.0
car,E1,426.0
emichelle87,E2,339.0
Natalie,E1,458.0
lcs,E1,424.0
Jasmine27405,E2,310.5
Mulder,E1,405.0
Lee,E1,401.0
Linz,E1,451.0
kbelle,E1,418.0
useranon58,E1,364.0
nibbles,E1,375.0
Kitty,E1,364.0
JimBobJoe,E1,473.0
sharon,E1,438.0
Dawsyndad,E1,351.0
randi,E1,399.0
beyoutiful,E1,376.0
Panda,E1,498.0
hugaporcupine,E1,479.0
sportypanda,E2,299.0
aud,E2,143.0
Terry,E1,381.0
sherryberran,E2,306.5
611H,E1,322.0
JayDee,E1,431.0
short,E2,309.5
SILLYMO88,E2,358.5
LB,E1,475.0
dirtyfeetindeed,E1,427.0
Selene,E1,330.0
Rotyflo,E2,231.0
Steve,E2,101.0
SharkTeeth,E2,248.0
Tina,E2,242.0
